gene_symbol	D_meta	P_diffusion	group
SH3RF1	0.0340465311293107	0.0008106142529227672	background
UNC5B	-0.485273532304224	0.0008048910049816647	background
CITED4	4.033869192205978	0.000802329288653971	CAP_up
DCXR	-0.0729112554563157	0.0008009782862831112	background
HEATR6	-0.37506209799771	0.0008006082959234293	background
TOMM34	-0.028882062816893	0.0007974071705608421	background
DUSP19	-0.2606208356364672	0.0007966948537333706	background
TNS3	0.4459631874638937	0.0007906042033997548	background
MPIG6B	0.5120919219084731	0.0007875356143315288	background
NBPF3	-2.4982478570296656	0.0007811291952954761	CAP_down
GRB14	-0.1277611028260076	0.0007780602454630831	background
ITM2B	2.824509297450611	0.0007769155654103383	CAP_up
TIPARP	2.20528071651981	0.0007711280142771996	CAP_up
HCAR3	5.12908313854861	0.0007709759260358396	CAP_up
FAM199X	0.0895544481121436	0.00076512969430935	background
FKBPL	6.901409495726783	0.0007637115793754575	CAP_up
FAM120B	0.1088272440990167	0.000758743404471213	background
PPFIBP2	0.0028272730057816	0.0007579624016090851	background
FAM117B	-4.181248974797662	0.0007557375414782354	CAP_down
BOK	-7.71292346815701	0.000753598724335481	CAP_down
LRFN4	-0.0269310041492281	0.0007524673965192293	background
AHR	-0.4614534526139778	0.0007485720367928619	background
TMEM204	-9.140170327903183	0.0007419100729688021	CAP_down
GAB3	0.0473285372625339	0.000741803055031762	background
NAT1	5.464069964869217	0.0007369840127142528	CAP_up
NCOA2	0.5113924200917357	0.0007358217894733244	background
RECK	-5.916985042018093	0.0007327482517505831	CAP_down
EBAG9	-0.5461226660782659	0.0007317540946248256	background
HIC2	-0.99473456973312	0.000729651763141806	background
AKR7A2	-0.2066831957929169	0.0007288228216321637	background
PTGDS	-4.731678644245573	0.0007251945401295004	CAP_down
CUEDC2	0.3890281432816151	0.00072333718970416	background
TNS2	-0.314084943555036	0.0007182501358903884	background
HDHD3	-0.292393778613185	0.0007161173723584295	background
OAZ2	1.5605549423808966	0.0007160894252311115	CAP_up
PTPN18	0.0223272598268951	0.0007158637086615842	background
PMEPA1	-2.936176600810837	0.0007154206613318073	CAP_down
CMIP	4.251494189337221	0.0007107674529202889	CAP_up
NRIP1	-0.0688843978853719	0.0007094635310237043	background
SLC6A12	3.125074558922079	0.0007093415433051023	CAP_up
PRDM2	0.0744964381482461	0.0007062952600220864	background
UHRF2	-2.3033861979364243	0.0007037415253751442	CAP_down
DUSP8	-0.6882385171004852	0.00070183929500822	background
ZBTB32	0.2110561045895323	0.0006972945487137873	background
CLEC4A	1.7670244676569873	0.0006951412547438028	CAP_up
AIP	-0.175368506130296	0.0006949856278771798	background
HAGH	-2.06611474988627	0.0006945723431288553	CAP_down
