gene_symbol	D_meta	logFC_d	padj_d	logFC_v	padj_v
CHRAC1	-0.3420599343261978	-0.381316592419154	0.025018432152331	-0.169178312	0.368497534
FAM133B	-1.984252997590282	-0.381078608817026	0.0023032335608104	-0.569960919	6.3208867143241e-06
NRF1	0.000874405230479422	-0.381059439208689	0.355401262361086	0.156621476	0.078656598
MAEA	3.460676832916596	0.381026603413664	0.0006308567984617	0.930809155	7.48244779175014e-07
GCM1	2.7397112101137697	0.380883524617384	0.0775353168802847	1.814040049	0.001631557
DNM3	-0.1327985730672947	-0.3808340678675	0.183666415483414	0.108355192	0.731930471
ANKRD52	-0.2966975190935941	-0.380644825422943	0.142005393405861	-0.247792794	0.080808507
BMS1	-2.692254671942208	-0.380538668880298	0.025213528565352	-0.881341323	3.80776664762977e-06
SEC14L1	3.0608009593769507	0.380369715564454	0.0170148561344306	1.198414036	2.84077882756739e-05
PPP2R5A	6.377281780477913	0.380349369618344	0.0021149516534066	1.207171949	8.9266698984567e-11
PDK2	-1.3939700532963872	-0.380209995156338	0.0529206728364592	-0.636036287	0.000239711
CIZ1	-0.17779514730070703	-0.380194851542728	0.21809863238679	-0.212469372	0.323454969
EIF3G	-0.6953823813771219	-0.380144760895622	0.0008199399550855	-0.328727552	0.217866245
CXCL5	-1.4482738703015852	-0.379921760267734	0.391157213576461	-1.185258884	0.004862472
ECD	-0.4386918694680692	-0.379872004302189	0.0037824894224612	0.093881789	0.350455428
GRK6	5.40932544307259	0.379716498388445	0.000163002032584	1.016249506	4.88343224161193e-10
PARP16	-1.7269377689033878	-0.379625141956526	0.0371224528993544	-0.548590343	4.94190126861245e-06
ZBTB9	-0.8048863942339204	-0.379607025541578	0.0394460232492169	-0.454089847	0.00425256
TASL	3.68243669059459	0.379548803701899	0.0211236952009774	1.084561482	6.24512349635033e-07
MPZL3	1.109613380599876	0.379479960776786	0.35140510228695	0.82665123	0.003341191
CATIP	4.195175442694986	0.379406461617095	0.411128485249667	1.574523233	5.81019605287135e-06
CCS	-0.640556389402103	-0.379400588367945	0.000415298517931	0.035276617	0.884331288
ZNF419	-5.785704550210812	-0.379346783590598	0.0001259610891952	-1.092539929	4.79117219742488e-10
RSPH4A	-0.4029769664232582	-0.379269850704821	0.48170688156148	-0.58879314	0.06847171
METTL6	0.06168441212741523	0.379218228090823	0.411613681267309	-0.077998306	0.509779644
FEN1	1.0924072324765928	0.379186012911242	0.0157401511203777	0.70113213	0.007227186
CDC14C	0.08723039940830452	-0.379067984495221	0.426917354939584	0.365057053	0.137485302
CCNE2	3.7725897857995836	0.378932160001911	0.207460905792179	1.352253887	4.08971436263565e-06
RAB11FIP3	-3.0329232424531813	-0.378844367195246	0.0149716988694621	-0.955831854	2.38270331815762e-06
HEG1	-6.1437816456439664	-0.378836267426285	0.0918745828858796	-1.41004372	3.5664391069643e-09
ZBTB18	0.42145143091910287	-0.378834997959467	0.334861032793863	0.526921757	0.011447841
HES6	-0.031029206053865457	-0.378804055639325	0.18907161681336	0.407144732	0.301580085
CD1A	-0.7703156609400561	-0.378753507624151	0.11603903225296	-0.745779023	0.025659697
OFD1	-3.723247919828622	-0.378684243245931	0.0082514810910963	-0.771146757	2.2266364083852702e-09
IFI27L1	0.3127963238084795	0.37862599357726	0.190207912831232	0.446370896	0.16213346
CHTF8	-0.22002619619372935	-0.378578590561019	0.117015749570843	-0.207141619	0.37888086
DENND4C	-1.403796193344692	-0.378508338051246	0.213939808187455	-0.53255811	1.59986979875971e-05
TMEM156	-1.681769495496862	-0.378481379205221	0.028771336560207	-0.78141799	0.000276695
FASTK	-0.4514741714709964	-0.378371063644978	0.0141870116871907	-0.266499086	0.172079706
BAHCC1	0.045590968112571406	0.378341258885757	0.33001998713878	-0.233747562	0.408132987
PDGFB	-1.4840175494900594	-0.378287942511594	0.301746446600624	-0.836335117	0.000485856
TYROBP	6.46241224321435	0.378253474618294	0.0077441256855415	1.401461354	2.1252253138991604e-09
SEH1L	-2.867275266852365	-0.37825127732352	0.028971153238444	-0.76266548	1.75172047455834e-07
GOSR2	0.14661049598511242	0.378224644267372	0.0155091627344123	-0.315332293	0.057488958
RNF145	4.539120962373114	0.378224130044397	0.0006387908700262	0.937350188	3.9183093840086815e-09
ADA2	-0.9295285937071324	-0.378196487524888	0.230187228250121	-0.734405477	0.006268039
NSMAF	0.5262270835481007	0.378162626877772	0.0062303118374254	0.225458951	0.107453279
TECR	-1.1678539924938154	-0.378125352572534	0.0114729342426639	-0.545797991	0.001160936
ZNF296	-0.07842618400300266	-0.378090041870665	0.0252352012380667	0.41987846	0.086022731
SRPK2	-0.2403537552723472	-0.377976417782022	0.0069457914423137	0.318763402	0.088887721
NPAT	-3.2635585862565715	-0.377854934639427	0.0249611011872124	-0.91045003	3.13269485288118e-07
SATB1	-3.0477617600365563	-0.37754323389892	0.0534425809595495	-0.670677691	4.1413526993906e-09
TMEM30B	-4.941001265299109	-0.37744689279774	0.354551643958431	-1.609037826	9.20510097959677e-07
FAM200B	1.5202497775752413	0.377365968272214	0.0609042519397986	0.737067272	0.000314129
DBNL	2.3489258395181247	0.377249618152211	0.0003351731626712	0.584187806	1.59279936013812e-06
